increment,ss_time,is_time,ms_time
5010,1.04,0.95,0.02
5020,1.0,0.96,0.02
5030,0.94,0.89,0.02
5040,0.94,0.92,0.02
5050,0.93,0.91,0.02
5060,0.93,0.9,0.02
5070,0.95,0.9,0.02
5080,0.98,0.91,0.02
5090,0.96,0.91,0.02
5100,0.96,0.99,0.02
5110,0.96,0.93,0.02
5120,1.01,0.92,0.03
5130,1.23,3.2,0.02
5140,0.96,0.92,0.02
5150,0.98,0.96,0.02
5160,0.97,0.93,0.02
5170,0.97,0.94,0.02
5180,0.99,0.94,0.02
5190,1.0,0.95,0.02
5200,0.98,0.92,0.02
5210,0.99,0.96,0.02
5220,0.99,0.98,0.02
5230,1.02,1.02,0.02
5240,1.22,1.13,0.02
5250,1.08,0.98,0.02
5260,1.0,0.97,0.02
5270,1.01,1.01,0.02
5280,1.01,1.02,0.02
5290,1.02,1.02,0.02
5300,1.02,1.02,0.02
5310,1.03,1.01,0.02
5320,1.03,1.03,0.02
5330,1.04,1.03,0.02
5340,1.05,1.05,0.02
5350,1.05,1.04,0.02
5360,1.04,1.04,0.02
5370,1.05,1.03,0.02
5380,1.07,1.05,0.02
5390,1.08,1.06,0.02
5400,1.09,1.09,0.02
5410,1.07,1.07,0.02
5420,1.09,1.1,0.02
5430,1.08,1.62,0.02
5440,1.12,1.08,0.02
5450,1.08,1.07,0.02
5460,1.09,1.07,0.02
5470,1.13,1.09,0.02
5480,1.1,1.09,0.02
5490,1.11,1.09,0.02
5500,1.11,1.11,0.02
5510,1.13,1.12,0.02
5520,1.13,1.11,0.02
5530,1.13,1.11,0.02
5540,1.38,1.17,0.02
5550,1.12,1.15,0.02
5560,1.21,1.15,0.02
5570,1.13,1.13,0.02
5580,1.13,1.12,0.02
5590,1.13,1.14,0.02
5600,1.14,1.14,0.02
5610,1.15,1.16,0.02
5620,1.16,1.16,0.02
5630,1.15,1.15,0.02
5640,1.16,1.16,0.02
5650,1.16,1.16,0.02
5660,1.25,1.16,0.02
5670,1.17,1.17,0.02
5680,1.18,1.16,0.02
5690,1.18,1.19,0.02
5700,1.18,1.18,0.02
5710,1.19,1.19,0.02
5720,1.2,1.19,0.02
5730,1.21,1.21,0.02
5740,1.21,1.21,0.02
5750,1.2,1.19,0.02
5760,1.21,1.22,0.02
5770,1.21,1.2,0.02
5780,1.21,1.2,0.02
5790,1.23,1.21,0.02
5800,1.23,1.23,0.02
5810,1.23,1.22,0.02
5820,1.23,1.25,0.02
5830,1.24,1.24,0.03
5840,1.24,1.24,0.02
5850,1.24,1.22,0.02
5860,1.26,1.25,0.02
5870,1.26,1.26,0.02
5880,1.27,1.24,0.02
5890,1.26,1.25,0.02
5900,1.27,1.26,0.02
5910,1.27,1.24,0.02
5920,1.28,1.26,0.02
5930,1.28,1.29,0.02
5940,1.28,1.27,0.02
5950,1.29,1.29,0.02
5960,1.3,1.27,0.02
5970,1.31,1.29,0.02
5980,1.3,1.31,0.02
5990,1.31,1.33,0.02
6000,1.41,1.32,0.02
6010,1.33,1.34,0.02
6020,1.33,1.34,0.03
6030,1.33,1.34,0.02
6040,1.34,1.36,0.02
6050,1.37,1.36,0.02
6060,1.37,1.31,0.02
6070,1.35,1.34,0.02
6080,1.34,1.33,0.02
6090,1.36,1.35,0.03
6100,1.37,1.35,0.02
6110,1.36,1.39,0.02
6120,1.37,1.4,0.02
6130,1.38,1.36,0.02
6140,1.38,1.35,0.02
6150,1.37,1.37,0.02
6160,1.38,1.39,0.03
6170,1.39,1.36,0.02
6180,1.4,1.38,0.04
6190,1.42,1.4,0.02
6200,1.4,1.4,0.03
6210,1.4,1.41,0.03
6220,1.41,1.42,0.03
6230,1.43,1.45,0.03
6240,1.45,1.44,0.03
6250,1.44,1.43,0.03
6260,1.46,1.41,0.03
6270,1.43,1.43,0.03
6280,1.44,1.41,0.03
6290,1.44,1.45,0.03
6300,1.45,1.44,0.03
6310,1.45,1.44,0.03
6320,1.45,1.45,0.03
6330,1.46,1.46,0.03
6340,1.47,1.44,0.03
6350,1.47,1.47,0.03
6360,1.47,1.45,0.03
6370,1.48,1.49,0.03
6380,1.49,1.47,0.03
6390,1.5,1.51,0.03
6400,1.51,1.5,0.03
6410,1.5,1.51,0.03
6420,1.72,1.56,0.03
6430,1.51,1.48,0.03
6440,1.51,1.51,0.03
6450,1.53,1.93,0.03
6460,1.54,1.52,0.03
6470,1.53,1.52,0.03
6480,1.54,1.65,0.03
6490,1.55,1.55,0.03
6500,1.56,1.55,0.03
6510,1.56,1.55,0.03
6520,1.57,1.54,0.03
6530,1.57,1.55,0.03
6540,1.57,1.56,0.03
6550,1.58,1.58,0.03
6560,1.58,1.6,0.03
6570,1.58,1.6,0.03
6580,1.59,1.56,0.03
6590,1.59,1.6,0.03
6600,1.6,1.59,0.03
6610,1.61,1.61,0.03
6620,1.62,1.61,0.03
6630,1.61,1.6,0.03
6640,1.62,1.63,0.03
6650,1.63,1.61,0.03
6660,1.62,1.63,0.03
6670,1.63,1.65,0.03
6680,1.63,1.61,0.03
6690,1.63,1.64,0.03
6700,1.64,1.65,0.03
6710,1.65,1.62,0.03
6720,1.65,1.65,0.03
6730,1.65,1.63,0.03
6740,1.65,1.66,0.03
6750,1.66,1.63,0.03
6760,1.66,1.66,0.03
6770,1.67,1.66,0.03
6780,1.67,1.65,0.03
6790,1.69,1.68,0.03
6800,1.69,1.66,0.03
6810,1.68,1.67,0.03
6820,1.7,1.68,0.03
6830,1.7,1.7,0.03
6840,1.74,1.78,0.03
6850,1.73,1.65,0.03
6860,1.71,1.7,0.03
6870,1.72,1.72,0.03
6880,1.73,1.74,0.03
6890,1.74,1.77,0.03
6900,1.75,1.71,0.03
6910,1.74,1.74,0.03
6920,1.76,1.77,0.03
6930,1.74,1.72,0.03
6940,1.76,1.74,0.03
6950,1.75,1.76,0.03
6960,1.92,1.76,0.03
6970,1.76,1.75,0.03
6980,1.78,1.78,0.03
6990,1.8,1.79,0.03
7000,1.79,1.8,0.03
7010,1.78,1.82,0.03
7020,1.79,1.76,0.03
7030,1.79,1.86,0.03
7040,1.81,1.79,0.03
7050,1.81,1.86,0.03
7060,1.85,1.82,0.03
7070,1.83,1.85,0.03
7080,1.82,1.82,0.03
7090,1.83,2.06,0.03
7100,1.83,1.84,0.03
7110,1.93,1.84,0.03
7120,1.87,1.88,0.04
7130,1.87,1.93,0.04
7140,2.04,2.38,0.03
7150,2.07,2.93,0.04
7160,1.93,1.91,0.03
7170,1.9,1.9,0.03
7180,1.9,1.89,0.03
7190,2.01,1.95,0.03
7200,1.9,1.89,0.03
7210,1.93,1.95,0.03
7220,1.93,1.9,0.03
7230,1.92,1.92,0.03
7240,1.91,1.94,0.03
7250,1.96,1.94,0.03
7260,1.94,1.92,0.03
7270,1.98,2.07,0.03
7280,1.95,2.25,0.03
7290,2.32,2.12,0.04
7300,2.09,1.94,0.03
7310,1.99,1.97,0.03
7320,1.99,1.93,0.03
7330,1.98,1.99,0.03
7340,1.98,1.99,0.03
7350,1.97,1.99,0.03
7360,1.99,2.01,0.03
7370,2.02,2.01,0.03
7380,2.01,1.99,0.03
7390,2.03,2.03,0.03
7400,2.02,2.04,0.03
7410,2.02,2.02,0.03
7420,2.02,2.03,0.03
7430,2.04,2.12,0.03
7440,2.04,2.06,0.03
7450,2.06,2.09,0.03
7460,2.06,2.07,0.03
7470,2.06,2.05,0.03
7480,2.07,2.06,0.03
7490,2.08,2.02,0.03
7500,2.15,2.0,0.03
7510,2.07,2.09,0.03
7520,2.08,2.07,0.03
7530,2.14,2.08,0.03
7540,2.1,2.1,0.03
7550,2.1,2.08,0.03
7560,2.11,2.07,0.03
7570,2.11,2.14,0.03
7580,2.09,2.11,0.03
7590,2.13,2.13,0.03
7600,2.19,2.14,0.03
7610,2.17,2.12,0.03
7620,2.15,2.14,0.04
7630,2.14,2.21,0.03
7640,2.15,2.14,0.03
7650,2.17,2.21,0.03
7660,2.15,2.16,0.03
7670,2.18,2.17,0.03
7680,2.17,2.16,0.03
7690,2.18,2.17,0.03
7700,2.18,2.16,0.03
7710,2.2,2.17,0.03
7720,2.23,2.19,0.03
7730,2.25,2.23,0.03
7740,2.2,2.22,0.03
7750,2.19,2.2,0.03
7760,2.23,2.31,0.03
7770,2.22,2.26,0.03
7780,2.26,2.23,0.03
7790,2.25,2.28,0.03
7800,2.27,2.27,0.03
7810,2.28,2.21,0.03
7820,2.27,2.28,0.03
7830,2.26,2.26,0.03
7840,2.27,2.2,0.03
7850,2.26,2.24,0.05
7860,2.29,2.31,0.03
7870,2.28,2.29,0.03
7880,2.28,2.29,0.03
7890,2.34,2.31,0.03
7900,2.27,2.26,0.03
7910,2.29,2.28,0.03
7920,2.35,2.31,0.03
7930,2.36,2.33,0.03
7940,2.32,2.3,0.03
7950,2.34,2.36,0.03
7960,2.49,2.38,0.03
7970,2.36,2.34,0.04
7980,2.76,2.76,0.05
7990,2.9,3.01,0.04
8000,2.92,3.01,0.04
8010,3.02,3.32,0.05
8020,3.06,2.53,0.04
8030,2.56,2.85,0.04
8040,2.58,2.47,0.03
8050,2.44,2.38,0.03
8060,2.39,2.43,0.03
8070,2.43,2.45,0.03
8080,2.4,2.39,0.03
8090,2.41,2.5,0.03
8100,2.44,2.41,0.03
8110,2.48,2.43,0.03
8120,2.43,2.44,0.03
8130,2.49,2.59,0.05
8140,2.43,2.45,0.03
8150,2.49,2.43,0.04
8160,2.47,2.44,0.03
8170,2.47,2.46,0.03
8180,2.48,2.48,0.03
8190,2.48,2.83,0.04
8200,2.53,2.49,0.03
8210,2.5,2.51,0.03
8220,2.5,2.48,0.04
8230,2.52,2.51,0.03
8240,2.51,2.48,0.03
8250,2.51,2.53,0.04
8260,2.51,2.54,0.04
8270,2.59,2.57,0.03
8280,2.54,2.54,0.04
8290,2.55,2.55,0.04
8300,2.54,2.59,0.03
8310,2.79,2.55,0.04
8320,2.56,2.58,0.04
8330,2.58,2.58,0.04
8340,2.55,2.58,0.04
8350,2.59,2.56,0.04
8360,2.59,2.58,0.04
8370,2.61,2.59,0.04
8380,2.59,2.61,0.04
8390,2.61,2.71,0.05
8400,2.63,2.69,0.04
8410,2.59,2.58,0.04
8420,2.58,2.6,0.04
8430,2.62,2.69,0.04
8440,2.77,3.1,0.04
8450,2.68,2.61,0.04
8460,2.64,2.63,0.04
8470,2.62,2.68,0.04
8480,2.63,2.63,0.04
8490,2.64,2.68,0.04
8500,2.64,2.65,0.04
8510,2.62,2.62,0.04
8520,2.62,2.64,0.04
8530,2.65,2.86,0.04
8540,3.13,2.66,0.04
8550,2.68,2.68,0.04
8560,2.68,2.64,0.04
8570,2.71,2.65,0.04
8580,2.72,2.68,0.04
8590,2.7,2.71,0.04
8600,2.7,2.7,0.04
8610,2.7,2.71,0.04
8620,2.73,2.73,0.04
8630,2.76,2.74,0.04
8640,2.72,2.75,0.04
8650,2.73,2.74,0.04
8660,2.73,3.08,0.04
8670,2.79,2.81,0.04
8680,2.8,2.78,0.04
8690,2.8,2.81,0.04
8700,2.8,2.77,0.04
8710,2.79,2.8,0.04
8720,2.79,2.79,0.04
8730,2.81,2.81,0.04
8740,2.83,2.83,0.04
8750,2.83,2.82,0.04
8760,2.83,2.82,0.04
8770,2.8,2.86,0.04
8780,2.86,2.84,0.04
8790,2.83,2.86,0.04
8800,2.87,2.85,0.04
8810,2.85,2.84,0.04
8820,2.87,2.89,0.04
8830,2.86,2.87,0.04
8840,2.89,2.9,0.04
8850,2.89,3.12,0.04
8860,2.91,2.9,0.04
8870,2.99,2.89,0.04
8880,2.9,2.91,0.04
8890,2.95,2.93,0.04
8900,2.93,2.97,0.04
8910,2.95,3.04,0.04
8920,2.95,3.0,0.04
8930,2.98,2.99,0.04
8940,2.98,2.95,0.04
8950,2.97,3.04,0.04
8960,2.96,3.01,0.04
8970,3.0,3.02,0.04
8980,3.02,3.05,0.04
8990,3.0,2.96,0.04
9000,3.06,3.01,0.04
9010,3.04,2.99,0.04
9020,2.99,3.01,0.04
9030,3.02,3.07,0.04
9040,3.06,3.04,0.04
9050,3.1,3.19,0.04
9060,3.03,3.05,0.04
9070,3.05,3.08,0.04
9080,3.07,3.04,0.04
9090,3.03,3.03,0.04
9100,3.08,3.06,0.04
9110,3.05,3.05,0.04
9120,3.05,3.07,0.04
9130,3.08,3.06,0.04
9140,3.07,3.05,0.04
9150,3.09,3.09,0.04
9160,3.11,3.14,0.04
9170,3.13,3.09,0.04
9180,3.11,3.14,0.04
9190,3.13,3.1,0.04
9200,3.11,3.13,0.04
9210,3.15,3.16,0.04
9220,3.13,3.17,0.04
9230,3.11,3.13,0.04
9240,3.14,3.16,0.04
9250,3.4,3.36,0.04
9260,3.13,3.16,0.04
9270,3.15,3.21,0.04
9280,3.2,3.17,0.04
9290,3.18,3.18,0.04
9300,3.22,3.23,0.04
9310,3.2,3.27,0.04
9320,3.2,3.48,0.04
9330,3.23,3.3,0.04
9340,3.22,3.2,0.04
9350,3.28,3.31,0.04
9360,3.28,3.26,0.04
9370,3.25,3.34,0.04
9380,3.26,3.32,0.04
9390,3.26,3.25,0.04
9400,3.32,3.32,0.04
9410,3.31,3.28,0.04
9420,3.3,3.31,0.04
9430,3.41,3.32,0.04
9440,3.29,3.28,0.04
9450,3.27,3.3,0.04
9460,3.31,3.28,0.05
9470,3.31,3.28,0.04
9480,3.44,3.91,0.04
9490,3.28,3.28,0.04
9500,3.4,3.25,0.04
9510,3.3,3.57,0.04
9520,3.33,3.35,0.04
9530,3.34,3.32,0.04
9540,3.32,3.32,0.04
9550,3.31,3.31,0.04
9560,3.33,3.32,0.04
9570,3.38,3.37,0.04
9580,3.36,3.38,0.04
9590,3.35,3.35,0.04
9600,3.35,3.35,0.04
9610,3.36,3.37,0.04
9620,3.36,3.36,0.04
9630,3.51,3.45,0.04
9640,3.48,3.44,0.04
9650,3.47,3.5,0.04
9660,3.49,3.41,0.04
9670,3.42,3.48,0.05
9680,3.45,3.38,0.04
9690,3.47,3.46,0.04
9700,3.49,3.44,0.04
9710,3.45,3.43,0.04
9720,3.53,3.49,0.04
9730,3.48,3.47,0.04
9740,3.53,3.49,0.04
9750,3.5,3.54,0.04
9760,3.48,3.5,0.05
9770,3.52,3.48,0.04
9780,3.47,3.47,0.04
9790,3.51,3.49,0.04
9800,3.53,3.59,0.04
9810,3.54,3.56,0.04
9820,3.53,3.55,0.04
9830,3.53,3.53,0.04
9840,3.59,3.58,0.04
9850,3.59,3.6,0.04
9860,3.56,3.57,0.04
9870,3.54,3.59,0.05
9880,3.54,3.57,0.04
9890,3.56,3.54,0.04
9900,3.57,3.55,0.04
9910,3.57,3.58,0.04
9920,3.56,3.54,0.04
9930,3.59,3.52,0.04
9940,3.6,3.94,0.04
9950,3.61,3.63,0.04
9960,3.61,3.56,0.04
9970,3.62,3.61,0.04
9980,3.63,3.65,0.04
9990,3.63,3.66,0.04
10000,3.64,3.61,0.04
